language,phrase,date,count,share,period,from_date,to_date,devices
Abap,abap tutorial,2022-03-01T00:00:00Z,20,1.5689383975893435e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2022-04-01T00:00:00Z,6,5.019832204150469e-08,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2022-05-01T00:00:00Z,9,7.543067203169623e-08,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2022-06-01T00:00:00Z,13,1.212889986917821e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2022-07-01T00:00:00Z,7,6.712960640820236e-08,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2022-08-01T00:00:00Z,13,1.2065905557344732e-07,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2022-09-01T00:00:00Z,7,5.987765005589415e-08,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2022-10-01T00:00:00Z,8,6.468388454286219e-08,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2022-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2022-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2023-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2024-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-07-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-08-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-09-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-10-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-11-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2025-12-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2026-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2026-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2026-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Abap,abap tutorial,2026-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-01-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-02-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-03-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-04-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-05-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
Ada,ada tutorial,2018-06-01T00:00:00Z,0,0.0,monthly,2018-01-01,2026-04-30,all
