language,phrase,date,count,share,java_count,relative_to_java,relative_total,share_pct,smoothed_share_pct,count_change_pct,average_share_pct,yearly_trend_pp
Python,python tutorial,2026-04-01,510,4.524076175098089e-06,225,2.266667,7.688888888888888,29.4798,28.843,-0.9709,30.1222,-4.8041
C/C++,c++ tutorial,2026-04-01,476,4.222471096758217e-06,225,2.115556,7.688888888888888,27.5145,29.8429,-7.9304,23.0085,8.3691
Java,java tutorial,2026-04-01,225,1.9959159596020983e-06,225,1.0,7.688888888888888,13.0058,11.5229,-1.3158,16.0289,-0.568
PHP,php tutorial,2026-04-01,142,1.2596447389488796e-06,225,0.631111,7.688888888888888,8.2081,7.9363,20.339,8.226,1.4555
Go,golang tutorial,2026-04-01,90,7.983663838408392e-07,225,0.4,7.688888888888888,5.2023,2.6067,63.6364,1.8001,-0.2269
Rust,rust tutorial,2026-04-01,78,6.919175326620607e-07,225,0.346667,7.688888888888888,4.5087,7.1433,-40.458,2.889,0.6877
Ruby,ruby tutorial,2026-04-01,61,5.411149934921244e-07,225,0.271111,7.688888888888888,3.526,1.9702,-18.6667,1.6398,0.246
JavaScript,javascript tutorial,2026-04-01,37,3.2821729113456725e-07,225,0.164444,7.688888888888888,2.1387,2.4982,-41.2698,3.4171,-0.6704
Kotlin,kotlin tutorial,2026-04-01,35,3.104758159381042e-07,225,0.155556,7.688888888888888,2.0231,2.206,-48.5294,2.4429,-0.1492
Lua,lua tutorial,2026-04-01,29,2.572513903487149e-07,225,0.128889,7.688888888888888,1.6763,1.9583,-3.3333,1.8567,-0.9135
